p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,cateogory
0.06197138,0.09776693,0.0871776,0.05187965,0.08162885,0.08884461,0.05050305,0.03183069,0.03446172,0.04736735,0.03819406,0.03520857,0.07405802,0.0453323,0.03310499,long_blink
0.08884461,0.05050305,0.03183069,0.03446172,0.04736735,0.03819406,0.03520857,0.07405802,0.0453323,0.03310499,0.02770956,0.037702,0.02675082,0.04272344,0.03909766,long_blink
0.05357099,0.05665826,0.07140547,0.0705357,0.074103,0.08354153,0.08766617,0.09521187,0.0850436,0.14118687,0.13348266,0.14105546,0.16555966,0.1387846,0.1332617,long_blink
0.08354153,0.08766617,0.09521187,0.0850436,0.14118687,0.13348266,0.14105546,0.16555966,0.1387846,0.1332617,0.14171085,0.14644663,0.14030946,0.1406248,0.15469084,long_blink
0.13348266,0.14105546,0.16555966,0.1387846,0.1332617,0.14171085,0.14644663,0.14030946,0.1406248,0.15469084,0.14828742,0.12472506,0.12737462,0.13071112,0.1316624,long_blink
0.14171085,0.14644663,0.14030946,0.1406248,0.15469084,0.14828742,0.12472506,0.12737462,0.13071112,0.1316624,0.13889361,0.14129163,0.13314888,0.11950514,0.12333536,long_blink
0.14828742,0.12472506,0.12737462,0.13071112,0.1316624,0.13889361,0.14129163,0.13314888,0.11950514,0.12333536,0.13454514,0.11756435,0.16085521,0.15510367,0.15535307,long_blink
0.13889361,0.14129163,0.13314888,0.11950514,0.12333536,0.13454514,0.11756435,0.16085521,0.15510367,0.15535307,0.15487212,0.14540856,0.13278115,0.12305783,0.11229793,long_blink
0.13454514,0.11756435,0.16085521,0.15510367,0.15535307,0.15487212,0.14540856,0.13278115,0.12305783,0.11229793,0.1506791,0.14002363,0.13257997,0.15017152,0.16093478,long_blink
0.15487212,0.14540856,0.13278115,0.12305783,0.11229793,0.1506791,0.14002363,0.13257997,0.15017152,0.16093478,0.1767177,0.15859721,0.18612492,0.18238614,0.17462928,long_blink
0.1506791,0.14002363,0.13257997,0.15017152,0.16093478,0.1767177,0.15859721,0.18612492,0.18238614,0.17462928,0.16099392,0.15312404,0.16047424,0.15020627,0.15666732,long_blink
0.1767177,0.15859721,0.18612492,0.18238614,0.17462928,0.16099392,0.15312404,0.16047424,0.15020627,0.15666732,0.14917741,0.12922079,0.15181433,0.15001384,0.16016658,long_blink
